URL,Restaurant Name,Overall Rating,Number of Reviews,Food Type
https://www.yelp.com/biz/stuttgart-blackforest-boutique-s-cafe-singapore-2?osq=Restaurants,Stuttgart Blackforest Boutique S-Cafe,4.0,2,German
https://www.yelp.com/biz/unique-pot-singapore?osq=Restaurants,Unique Pot,5.0,1,"Singaporean, Chinese"
https://www.yelp.com/biz/joan-bowen-the-special-culinary-centre-singapore?osq=Restaurants,Joan Bowen The Special Culinary Centre,5.0,1,"American, Desserts, Coffee & Tea"
https://www.yelp.com/biz/liao-fan-hawker-chan-singapore-5?osq=Restaurants,Liao Fan Hawker Chan,4.0,18,"Noodles, Cantonese"
https://www.yelp.com/biz/teochew-restaurant-huat-kee-singapore?osq=Restaurants,Teochew Restaurant Huat Kee,4.7,3,Chinese
https://www.yelp.com/biz/hong-kong-street-family-restaurant-singapore-2?osq=Restaurants,Hong Kong Street Family Restaurant,4.3,13,Cantonese
https://www.yelp.com/biz/jumbo-seafood-singapore-4?osq=Restaurants,Jumbo Seafood,3.8,216,Seafood
https://www.yelp.com/biz/hawkerman-singapore-2?osq=Restaurants,Hawkerman,4.0,1,Asian Fusion
https://www.yelp.com/biz/hortus-singapore?osq=Restaurants,Hortus,4.3,4,Mediterranean
https://www.yelp.com/biz/the-ricetable-singapore?osq=Restaurants,The RiceTable,4.3,9,Indonesian
https://www.yelp.com/biz/sawadee-thai-cuisine-singapore-2?osq=Restaurants,Sawadee Thai Cuisine,4.5,20,Thai
https://www.yelp.com/biz/isle-eating-house-singapore?osq=Restaurants,,,,
https://www.yelp.com/biz/swee-choon-tim-sum-singapore?osq=Restaurants,Swee Choon Tim Sum,4.0,86,Dim Sum
https://www.yelp.com/biz/83-seafood-restaurant-singapore?osq=Restaurants,83 Seafood Restaurant,5.0,1,Seafood
https://www.yelp.com/biz/old-airport-road-food-centre-singapore?osq=Restaurants,Old Airport Road Food Centre,4.3,67,"Hawker Centre, Food Court"
https://www.yelp.com/biz/fat-cow-singapore?osq=Restaurants,Fat Cow,4.1,41,"Japanese, Steakhouses"
https://www.yelp.com/biz/hopheads-singapore?osq=Restaurants,Hopheads,4.0,4,"Bistros, Tapas/Small Plates"
https://www.yelp.com/biz/the-reading-room-singapore?osq=Restaurants,The Reading Room,4.0,6,"Bars, Cafes"
https://www.yelp.com/biz/mrs-pho-house-rangoon-singapore?osq=Restaurants,Mrs Pho House Rangoon,4.4,7,Vietnamese
https://www.yelp.com/biz/gu-cheng-%E5%8F%A4%E5%9F%8E-singapore?osq=Restaurants,Gu Cheng 古城,4.0,1,Malaysian
https://www.yelp.com/biz/minang-house-singapore?osq=Restaurants,Minang House,4.8,4,Indonesian
https://www.yelp.com/biz/penang-seafood-restaurant-singapore?osq=Restaurants,Penang Seafood Restaurant,4.0,14,"Malaysian, Seafood"
https://www.yelp.com/biz/heart-of-darkness-singapore-singapore?osq=Restaurants,Heart of Darkness Singapore,5.0,5,"Bars, Tapas/Small Plates, Gastropubs"
https://www.yelp.com/biz/hk-street-old-chun-kee-singapore?osq=Restaurants,HK Street Old Chun Kee,4.0,1,Chinese
https://www.yelp.com/biz/nanyang-old-taste-singapore?osq=Restaurants,Nanyang Old Taste,5.0,1,Singaporean
https://www.yelp.com/biz/elllenborough-market-cafe-singapore?osq=Restaurants,Elllenborough Market Cafe,5.0,1,Buffets
https://www.yelp.com/biz/khansama-tandoori-singapore?osq=Restaurants,Khansama Tandoori,4.2,70,Indian
https://www.yelp.com/biz/song-fa-bak-kut-teh-singapore-7?osq=Restaurants,Song Fa Bak Kut Teh,4.6,21,"Soup, Chinese"
https://www.yelp.com/biz/soi-thai-soi-nice-singapore?osq=Restaurants,Soi Thai Soi Nice,4.8,4,Thai
https://www.yelp.com/biz/hung-kang-teochew-restaurant-singapore?osq=Restaurants,Hung Kang Teochew Restaurant,4.7,3,Teochew
https://www.yelp.com/biz/the-black-sheep-cafe-singapore-2?osq=Restaurants,The Black Sheep Cafe,4.4,8,"French, Bistros, Cafes"
https://www.yelp.com/biz/shamrock-cafe-singapore?osq=Restaurants,Shamrock Cafe,5.0,1,Cafes
https://www.yelp.com/biz/corner-house-singapore?osq=Restaurants,Corner House,4.5,32,Modern European
https://www.yelp.com/biz/sawasdee-singapore?osq=Restaurants,Sawasdee,4.1,9,Thai
https://www.yelp.com/biz/haikee-brothers-singapore?osq=Restaurants,Haikee Brothers,5.0,1,Singaporean
https://www.yelp.com/biz/native-kitchen-southern-islands?osq=Restaurants,Native Kitchen,5.0,1,Asian Fusion
https://www.yelp.com/biz/the-meeting-place-singapore?osq=Restaurants,The Meeting Place,5.0,3,"Street Vendors, Seafood"
https://www.yelp.com/biz/jumbo-seafood-singapore-8?osq=Restaurants,Jumbo Seafood,3.8,12,"Seafood, Singaporean"
https://www.yelp.com/biz/merci-marcel-singapore-2?osq=Restaurants,Merci Marcel,5.0,1,French
https://www.yelp.com/biz/saigon-baguette-singapore-2?osq=Restaurants,Saigon Baguette,5.0,1,Vietnamese
https://www.yelp.com/biz/five-oars-coffee-roasters-singapore-2?osq=Restaurants,Five Oars Coffee Roasters,4.7,10,"Coffee Roasteries, Breakfast & Brunch"
https://www.yelp.com/biz/souper-tang-singapore?osq=Restaurants,This site can’t be reached.,,,
https://www.yelp.com/biz/taste-paradise-singapore-3?osq=Restaurants,Taste Paradise,4.5,32,"Dim Sum, Cantonese"
https://www.yelp.com/biz/la-strada-singapore?osq=Restaurants,La Strada,4.3,18,Italian
https://www.yelp.com/biz/the-original-katong-laksa-singapore?osq=Restaurants,The Original Katong Laksa,4.6,11,Singaporean
https://www.yelp.com/biz/shanghai-ren-jia-singapore?osq=Restaurants,Shanghai Ren Jia,4.3,14,Chinese
https://www.yelp.com/biz/the-naked-finn-singapore?osq=Restaurants,The Naked Finn,4.3,19,Seafood
https://www.yelp.com/biz/io-italian-osteria-singapore?osq=Restaurants,iO Italian Osteria,4.4,19,Italian
https://www.yelp.com/biz/two-men-bagel-house-singapore?osq=Restaurants,Two Men Bagel House,4.5,84,"Bagels, Breakfast & Brunch, Sandwiches"
https://www.yelp.com/biz/herbivore-singapore?osq=Restaurants,Herbivore,4.2,17,"Vegetarian, Japanese"
